lcl|TRINITY_DN155166_c0_g1_i1:c194-3,sp|P0CB42.1|,P0CB42.1,51.923,66.2,1.17e-13
lcl|TRINITY_DN155104_c0_g1_i1:196-417,sp|Q6NXD8.2|,Q6NXD8.2,40.000,48.5,4.14e-07
lcl|TRINITY_DN155119_c0_g1_i1:18-155,sp|Q20751.1|,Q20751.1,55.814,53.9,4.82e-10
lcl|TRINITY_DN155183_c0_g1_i1:2-280,sp|A8Y1P7.1|,A8Y1P7.1,42.391,83.6,2.87e-19
lcl|TRINITY_DN155182_c0_g1_i1:119-238,sp|Q80W93.2|,Q80W93.2,55.000,45.8,8.08e-07
lcl|TRINITY_DN115050_c0_g1_i1:37-312,sp|P86091.1|,P86091.1,44.944,69.3,3.86e-14
lcl|TRINITY_DN115065_c0_g1_i1:c192-1,sp|P53997.2|,P53997.2,84.848,56.2,4.49e-10
lcl|TRINITY_DN115027_c0_g1_i1:269-580,sp|Q96N22.2|,Q96N22.2,40.196,75.1,4.64e-16
lcl|TRINITY_DN103555_c0_g1_i1:127-249,sp|Q61624.2|,Q61624.2,48.780,57.8,5.83e-11
lcl|TRINITY_DN103555_c0_g1_i1:c206-93,sp|P13682.4|,P13682.4,57.143,47.0,3.04e-07
lcl|TRINITY_DN103555_c0_g1_i1:c172-2,sp|Q8BQN6.2|,Q8BQN6.2,60.714,74.3,7.53e-17
lcl|TRINITY_DN131245_c0_g1_i1:16-339,sp|Q24307.3|,Q24307.3,60.000,58.9,3.28e-10
lcl|TRINITY_DN131257_c0_g1_i1:113-1066,sp|Q1LUQ4.1|,Q1LUQ4.1,39.726,162,1.23e-43
lcl|TRINITY_DN131258_c0_g1_i1:11-703,sp|Q9I8C7.1|,Q9I8C7.1,43.723,196,3.60e-59
lcl|TRINITY_DN131258_c0_g1_i1:c253-2,sp|Q9I8C7.1|,Q9I8C7.1,48.750,90.1,9.58e-22
lcl|TRINITY_DN131209_c0_g1_i1:2-250,sp|P61017.1|,P61017.1,60.294,94.0,1.76e-24
lcl|TRINITY_DN131271_c0_g1_i1:11-253,sp|Q6ZWH5.3|,Q6ZWH5.3,44.565,67.8,9.17e-14
lcl|TRINITY_DN141184_c0_g1_i1:143-226,sp|Q3MHE8.1|,Q3MHE8.1,86.364,49.7,2.13e-08
lcl|TRINITY_DN141184_c0_g1_i1:75-224,sp|Q9DBG7.1|,Q9DBG7.1,76.923,66.6,6.36e-14
lcl|TRINITY_DN141184_c0_g1_i1:c220-38,sp|Q9DBG7.1|,Q9DBG7.1,76.923,66.6,1.07e-13
lcl|TRINITY_DN141152_c0_g1_i1:8-319,sp|Q4UVB0.1|,Q4UVB0.1,51.351,90.5,7.30e-23
lcl|TRINITY_DN141152_c0_g1_i1:c105-1,sp|A7FMY7.1|,A7FMY7.1,60.606,50.1,1.09e-08
lcl|TRINITY_DN141183_c1_g1_i1:20-751,sp|Q9D9M5.1|,Q9D9M5.1,35.593,169,4.34e-51
lcl|TRINITY_DN141100_c0_g1_i1:7-177,sp|P08418.2|,P08418.2,96.429,112,7.14e-30
lcl|TRINITY_DN141100_c0_g1_i1:c247-134,sp|Q9W6Y1.1|,Q9W6Y1.1,97.297,75.9,1.77e-17
lcl|TRINITY_DN141100_c0_g1_i1:c201-115,sp|P08418.2|,P08418.2,100.000,58.2,2.21e-11
lcl|TRINITY_DN141162_c0_g1_i1:c154-2,sp|Q9YH26.2|,Q9YH26.2,66.667,82.0,2.34e-19
lcl|TRINITY_DN141161_c0_g1_i1:70-897,sp|P48509.3|,P48509.3,28.689,77.8,1.17e-15
lcl|TRINITY_DN141140_c0_g1_i1:157-639,sp|A8WX15.3|,A8WX15.3,31.092,77.0,8.52e-16
lcl|TRINITY_DN141110_c0_g1_i1:42-200,sp|Q5DRA8.1|,Q5DRA8.1,41.176,47.8,3.02e-07
lcl|TRINITY_DN141113_c0_g1_i1:236-2146,sp|Q684M2.1|,Q684M2.1,42.405,365,4.43e-119
lcl|TRINITY_DN141113_c0_g1_i1:c2150-1728,sp|Q96DT6.1|,Q96DT6.1,46.099,125,6.30e-34
lcl|TRINITY_DN124510_c0_g1_i1:c267-1,sp|Q99PW8.1|,Q99PW8.1,47.727,91.7,4.13e-22
lcl|TRINITY_DN115358_c0_g1_i1:78-266,sp|P50554.3|,P50554.3,54.839,82.4,2.77e-19
lcl|TRINITY_DN115315_c0_g1_i1:c196-2,sp|P24153.1|,P24153.1,46.970,52.0,1.49e-08
lcl|TRINITY_DN128295_c1_g1_i1:101-703,sp|Q8K4Q8.1|,Q8K4Q8.1,31.973,75.5,7.67e-15
lcl|TRINITY_DN128223_c0_g1_i1:54-3377,sp|Q9H9Y6.2|,Q9H9Y6.2,49.730,1132,0.0
lcl|TRINITY_DN128246_c0_g1_i1:5-649,sp|Q9VZ23.1|,Q9VZ23.1,72.093,322,3.85e-112
lcl|TRINITY_DN128246_c0_g1_i1:c145-2,sp|P28748.1|,P28748.1,76.596,80.1,9.94e-20
lcl|TRINITY_DN128230_c0_g1_i1:79-1866,sp|P21589.1|,P21589.1,44.324,440,3.30e-147
lcl|TRINITY_DN128271_c0_g1_i1:2-880,sp|Q9Y6J8.1|,Q9Y6J8.1,32.166,175,9.56e-52
lcl|TRINITY_DN128283_c0_g1_i1:326-892,sp|P49076.2|,P49076.2,57.627,225,1.08e-74
lcl|TRINITY_DN128261_c0_g1_i1:128-1303,sp|Q0S808.1|,Q0S808.1,29.940,72.0,1.84e-13
lcl|TRINITY_DN128234_c0_g1_i1:258-866,sp|Q5XI33.1|,Q5XI33.1,38.272,61.2,2.70e-10
lcl|TRINITY_DN128215_c0_g1_i1:c457-2,sp|Q5F418.1|,Q5F418.1,74.324,108,3.75e-27
lcl|TRINITY_DN100386_c0_g1_i1:35-640,sp|O15075.2|,O15075.2,43.434,84.3,8.55e-18
lcl|TRINITY_DN100364_c0_g1_i1:14-205,sp|Q18066.3|,Q18066.3,78.125,101,6.23e-26
lcl|TRINITY_DN100368_c0_g1_i1:13-549,sp|O17185.2|,O17185.2,41.667,62.0,1.55e-10
lcl|TRINITY_DN100362_c0_g1_i1:c216-1,sp|P92555.1|,P92555.1,42.188,48.1,1.35e-07
lcl|TRINITY_DN119803_c0_g1_i1:21-1082,sp|A6QPC8.1|,A6QPC8.1,35.443,180,4.39e-52
lcl|TRINITY_DN119881_c0_g1_i1:125-484,sp|Q9C0G6.3|,Q9C0G6.3,61.667,171,1.85e-49
lcl|TRINITY_DN119881_c0_g1_i1:c120-1,sp|Q9C0G6.3|,Q9C0G6.3,67.647,48.1,1.00e-07
lcl|TRINITY_DN119820_c0_g1_i1:12-425,sp|Q9H2K2.1|,Q9H2K2.1,40.157,86.7,1.91e-19
lcl|TRINITY_DN119820_c0_g1_i1:12-425,sp|Q9H2K2.1|,Q9H2K2.1,37.956,77.8,2.18e-16
lcl|TRINITY_DN119831_c0_g1_i1:163-249,sp|Q6GYQ0.1|,Q6GYQ0.1,88.889,53.5,7.85e-10
lcl|TRINITY_DN119831_c0_g1_i1:c236-3,sp|Q6GYQ0.1|,Q6GYQ0.1,67.647,99.0,7.34e-25
lcl|TRINITY_DN119826_c0_g1_i1:159-680,sp|O15259.1|,O15259.1,38.418,115,4.62e-29
lcl|TRINITY_DN119826_c0_g1_i1:c177-1,sp|Q9TU19.1|,Q9TU19.1,55.000,50.1,6.55e-08
lcl|TRINITY_DN119826_c0_g1_i1:c188-51,sp|Q9TU19.1|,Q9TU19.1,52.381,52.0,7.86e-09
lcl|TRINITY_DN119843_c0_g1_i1:5-289,sp|Q5ZJU4.1|,Q5ZJU4.1,69.149,136,3.03e-42
lcl|TRINITY_DN119873_c0_g1_i1:88-381,sp|A9JTJ0.1|,A9JTJ0.1,48.438,53.1,1.28e-09
lcl|TRINITY_DN119852_c0_g1_i1:64-477,sp|Q03253.2|,Q03253.2,48.438,128,6.44e-38
lcl|TRINITY_DN119852_c0_g1_i1:c474-25,sp|Q03253.2|,Q03253.2,48.438,128,1.02e-37
lcl|TRINITY_DN119842_c0_g1_i1:38-739,sp|Q9NWC5.1|,Q9NWC5.1,26.601,54.7,1.19e-07
lcl|TRINITY_DN119888_c0_g1_i1:13-465,sp|P29691.4|,P29691.4,88.667,284,5.28e-91
lcl|TRINITY_DN119888_c0_g1_i1:c477-367,sp|P29691.4|,P29691.4,78.125,57.0,8.37e-11
lcl|TRINITY_DN119888_c0_g1_i1:c99-1,sp|Q90705.3|,Q90705.3,96.970,73.6,1.02e-16
